huc12_id,year,pscutot_mgd
060101020102,2010,0.012643554
060101020102,2011,0.013063125
060101020102,2012,0.013314833
060101020102,2013,0.011236017
060101020102,2014,0.011606827
060101020102,2015,0.011830777
060101020102,2016,0.012119989
060101020102,2017,0.01174932
060101020102,2018,0.010843361
060101020102,2019,0.010787713
060101020102,2020,0.009870987
060101020103,2009,0.0
060101020103,2010,0.0
060101020103,2011,0.0
060101020103,2012,0.0
060101020103,2013,0.0
060101020103,2014,0.0
060101020103,2015,0.0
060101020103,2016,0.0
060101020103,2017,0.0
060101020103,2018,0.0
060101020103,2019,0.0
060101020103,2020,0.0
060101020201,2009,0.0
060101020201,2010,0.0
060101020201,2011,0.0
060101020201,2012,0.0
060101020201,2013,0.0
060101020201,2014,0.0
060101020201,2015,0.0
060101020201,2016,0.0
060101020201,2017,0.0
060101020201,2018,0.0
060101020201,2019,0.0
060101020201,2020,0.0
060101020202,2009,0.0
060101020202,2010,0.0
060101020202,2011,0.0
060101020202,2012,0.0
060101020202,2013,0.0
060101020202,2014,0.0
060101020202,2015,0.0
060101020202,2016,0.0
060101020202,2017,0.0
060101020202,2018,0.0
060101020202,2019,0.0
060101020202,2020,0.0
060101020203,2009,0.0
060101020203,2010,0.0
060101020203,2011,0.0
060101020203,2012,0.0
060101020203,2013,0.0
060101020203,2014,0.0
060101020203,2015,0.0
060101020203,2016,0.0
060101020203,2017,0.0
060101020203,2018,0.0
060101020203,2019,0.0
060101020203,2020,0.0
060101020204,2009,0.0
060101020204,2010,0.0
060101020204,2011,0.0
060101020204,2012,0.0
060101020204,2013,0.0
060101020204,2014,0.0
060101020204,2015,0.0
060101020204,2016,0.0
060101020204,2017,0.0
060101020204,2018,0.0
060101020204,2019,0.0
060101020204,2020,0.0
060101020301,2009,0.013858762
060101020301,2010,0.01969811
060101020301,2011,0.020351784
060101020301,2012,0.020743934
060101020301,2013,0.017505228
060101020301,2014,0.018082935
060101020301,2015,0.018431839
060101020301,2016,0.018882419
060101020301,2017,0.018304932
060101020301,2018,0.016893487
060101020301,2019,0.01680679
060101020301,2020,0.01537857
060101020302,2009,0.0
060101020302,2010,0.0
060101020302,2011,0.0
060101020302,2012,0.0
060101020302,2013,0.0
060101020302,2014,0.0
060101020302,2015,0.0
060101020302,2016,0.0
060101020302,2017,0.0
060101020302,2018,0.0
060101020302,2019,0.0
060101020302,2020,0.0
060101020303,2009,0.044005502
060101020303,2010,0.062547089
060101020303,2011,0.064622688
060101020303,2012,0.065867878
060101020303,2013,0.055584067
060101020303,2014,0.05741845
060101020303,2015,0.058526318
060101020303,2016,0.059957038
060101020303,2017,0.058123354
060101020303,2018,0.053641616
060101020303,2019,0.053366327
060101020303,2020,0.048831324
060101020304,2009,0.004106947
060101020304,2010,0.005837397
060101020304,2011,0.006031109
060101020304,2012,0.00614732
060101020304,2013,0.005187552
060101020304,2014,0.005358751
060101020304,2015,0.005462146
060101020304,2016,0.005595673
060101020304,2017,0.005424539
060101020304,2018,0.005006267
060101020304,2019,0.004980575
060101020304,2020,0.004557332
