huc12_id,year,tewdssw_mgd,tecuftot_mgd,tewdftot_mgd
020403040104,2016,0.0,0.0,0.0
020403040104,2017,0.0,0.0,0.0
020403040104,2018,0.0,0.0,0.0
020403040104,2019,0.0,0.0,0.0
020403040104,2020,0.0,0.0,0.0
020403040201,2008,0.0,0.0,0.0
020403040201,2009,0.0,0.0,0.0
020403040201,2010,0.0,0.0,0.0
020403040201,2011,0.0,0.0,0.0
020403040201,2012,0.0,0.0,0.0
020403040201,2013,0.0,0.0,0.0
020403040201,2014,0.0,0.0,0.0
020403040201,2015,0.0,0.0,0.0
020403040201,2016,0.0,0.0,0.0
020403040201,2017,0.0,0.0,0.0
020403040201,2018,0.0,0.0,0.0
020403040201,2019,0.0,0.0,0.0
020403040201,2020,0.0,0.0,0.0
020403040202,2008,0.0,0.0,0.0
020403040202,2009,0.0,0.0,0.0
020403040202,2010,0.0,0.0,0.0
020403040202,2011,0.0,0.0,0.0
020403040202,2012,0.0,0.0,0.0
020403040202,2013,0.0,0.0,0.0
020403040202,2014,0.0,0.0,0.0
020403040202,2015,0.0,0.0,0.0
020403040202,2016,0.0,0.0,0.0
020403040202,2017,0.0,0.0,0.0
020403040202,2018,0.0,0.0,0.0
020403040202,2019,0.0,0.0,0.0
020403040202,2020,0.0,0.0,0.0
020403040203,2008,0.0,0.0,0.0
020403040203,2009,0.0,0.0,0.0
020403040203,2010,0.0,0.0,0.0
020403040203,2011,0.0,0.0,0.0
020403040203,2012,0.0,0.0,0.0
020403040203,2013,0.0,0.0,0.0
020403040203,2014,0.0,0.0,0.0
020403040203,2015,0.0,0.0,0.0
020403040203,2016,0.0,0.0,0.0
020403040203,2017,0.0,0.0,0.0
020403040203,2018,0.0,0.0,0.0
020403040203,2019,0.0,0.0,0.0
020403040203,2020,0.0,0.0,0.0
020403040301,2008,0.0,0.0,0.0
020403040301,2009,0.0,0.0,0.0
020403040301,2010,0.0,0.0,0.0
020403040301,2011,0.0,0.0,0.0
020403040301,2012,0.0,0.0,0.0
020403040301,2013,0.0,0.0,0.0
020403040301,2014,0.0,0.0,0.0
020403040301,2015,0.0,0.0,0.0
020403040301,2016,0.0,0.0,0.0
020403040301,2017,0.0,0.0,0.0
020403040301,2018,0.0,0.0,0.0
020403040301,2019,0.0,0.0,0.0
020403040301,2020,0.0,0.0,0.0
020403040302,2008,0.0,0.0,0.0
020403040302,2009,0.0,0.0,0.0
020403040302,2010,0.0,0.0,0.0
020403040302,2011,0.0,0.0,0.0
020403040302,2012,0.0,0.0,0.0
020403040302,2013,0.0,0.0,0.0
020403040302,2014,0.0,0.0,0.0
020403040302,2015,0.0,0.0,0.0
020403040302,2016,0.0,0.0,0.0
020403040302,2017,0.0,0.0,0.0
020403040302,2018,0.0,0.0,0.0
020403040302,2019,0.0,0.0,0.0
020403040302,2020,0.0,0.0,0.0
020403040303,2008,0.0,0.0,0.0
020403040303,2009,0.0,0.0,0.0
020403040303,2010,0.0,0.0,0.0
020403040303,2011,0.0,0.0,0.0
020403040303,2012,0.0,0.0,0.0
020403040303,2013,0.0,0.0,0.0
020403040303,2014,0.0,0.0,0.0
020403040303,2015,0.0,0.0,0.0
020403040303,2016,0.0,0.0,0.0
020403040303,2017,0.0,0.0,0.0
020403040303,2018,0.0,0.0,0.0
020403040303,2019,0.0,0.0,0.0
020403040303,2020,0.0,0.0,0.0
020403040304,2008,0.0,0.0,0.0
020403040304,2009,0.0,0.0,0.0
020403040304,2010,0.0,0.0,0.0
020403040304,2011,0.0,0.0,0.0
020403040304,2012,0.0,0.0,0.0
020403040304,2013,0.0,0.0,0.0
020403040304,2014,0.0,0.0,0.0
020403040304,2015,0.0,0.0,0.0
020403040304,2016,0.0,0.0,0.0
020403040304,2017,0.0,0.0,0.0
020403040304,2018,0.0,0.0,0.0
020403040304,2019,0.0,0.0,0.0
020403040304,2020,0.0,0.0,0.0
020403040401,2008,0.0,0.0,0.0
020403040401,2009,0.0,0.0,0.0
020403040401,2010,0.0,0.0,0.0
020403040401,2011,0.0,0.0,0.0
020403040401,2012,0.0,0.0,0.0
020403040401,2013,0.0,0.0,0.0
020403040401,2014,0.0,0.0,0.0
020403040401,2015,0.0,0.0,0.0
020403040401,2016,0.0,0.0,0.0
020403040401,2017,0.0,0.0,0.0
020403040401,2018,0.0,0.0,0.0
020403040401,2019,0.0,0.0,0.0
020403040401,2020,0.0,0.0,0.0
020403040402,2008,0.0,0.0,0.0
020403040402,2009,0.0,0.0,0.0
020403040402,2010,0.0,0.0,0.0
020403040402,2011,0.0,0.0,0.0
020403040402,2012,0.0,0.0,0.0
020403040402,2013,0.0,0.0,0.0
020403040402,2014,0.0,0.0,0.0
020403040402,2015,0.0,0.0,0.0
020403040402,2016,0.0,0.0,0.0
020403040402,2017,0.0,0.0,0.0
020403040402,2018,0.0,0.0,0.0
020403040402,2019,0.0,0.0,0.0
020403040402,2020,0.0,0.0,0.0
020403040403,2008,0.0,0.0,0.0
020403040403,2009,0.0,0.0,0.0
020403040403,2010,0.0,0.0,0.0
020403040403,2011,0.0,0.0,0.0
020403040403,2012,0.0,0.0,0.0
020403040403,2013,0.0,0.0,0.0
020403040403,2014,0.0,0.0,0.0
020403040403,2015,0.0,0.0,0.0
020403040403,2016,0.0,0.0,0.0
020403040403,2017,0.0,0.0,0.0
020403040403,2018,0.0,0.0,0.0
020403040403,2019,0.0,0.0,0.0
020403040403,2020,0.0,0.0,0.0
020403040404,2008,0.0,0.0,0.0
020403040404,2009,0.0,0.0,0.0
020403040404,2010,0.0,0.0,0.0
020403040404,2011,0.0,0.0,0.0
020403040404,2012,0.0,0.0,0.0
020403040404,2013,0.0,0.0,0.0
020403040404,2014,0.0,0.0,0.0
020403040404,2015,0.0,0.0,0.0
020403040404,2016,0.0,0.0,0.0
020403040404,2017,0.0,0.0,0.0
020403040404,2018,0.0,0.0,0.0
020403040404,2019,0.0,0.0,0.0
020403040404,2020,0.0,0.0,0.0
020403040501,2008,0.0,0.0,0.0
020403040501,2009,0.0,0.0,0.0
020403040501,2010,0.0,0.0,0.0
020403040501,2011,0.0,0.0,0.0
020403040501,2012,0.0,0.0,0.0
020403040501,2013,0.0,0.0,0.0
020403040501,2014,0.0,0.0,0.0
020403040501,2015,0.0,0.0,0.0
020403040501,2016,0.0,0.0,0.0
020403040501,2017,0.0,0.0,0.0
020403040501,2018,0.0,0.0,0.0
020403040501,2019,0.0,0.0,0.0
020403040501,2020,0.0,0.0,0.0
020403040502,2008,0.0,0.0,0.0
020403040502,2009,0.0,0.0,0.0
020403040502,2010,0.0,0.0,0.0
020403040502,2011,0.0,0.0,0.0
020403040502,2012,0.0,0.0,0.0
020403040502,2013,0.0,0.0,0.0
020403040502,2014,0.0,0.0,0.0
020403040502,2015,0.0,0.0,0.0
020403040502,2016,0.0,0.0,0.0
020403040502,2017,0.0,0.0,0.0
020403040502,2018,0.0,0.0,0.0
020403040502,2019,0.0,0.0,0.0
020403040502,2020,0.0,0.0,0.0
020700010101,2008,0.0,0.0,0.0
020700010101,2009,0.0,0.0,0.0
020700010101,2010,0.0,0.0,0.0
020700010101,2011,0.0,0.0,0.0
020700010101,2012,0.0,0.0,0.0
020700010101,2013,0.0,0.0,0.0
020700010101,2014,0.0,0.0,0.0
020700010101,2015,0.0,0.0,0.0
020700010101,2016,0.0,0.0,0.0
020700010101,2017,0.0,0.0,0.0
020700010101,2018,0.0,0.0,0.0
020700010101,2019,0.0,0.0,0.0
020700010101,2020,0.0,0.0,0.0
020700010301,2008,0.0,0.0,0.0
020700010301,2009,0.0,0.0,0.0
020700010301,2010,0.0,0.0,0.0
020700010301,2011,0.0,0.0,0.0
020700010301,2012,0.0,0.0,0.0
020700010301,2013,0.0,0.0,0.0
020700010301,2014,0.0,0.0,0.0
020700010301,2015,0.0,0.0,0.0
020700010301,2016,0.0,0.0,0.0
020700010301,2017,0.0,0.0,0.0
020700010301,2018,0.0,0.0,0.0
020700010301,2019,0.0,0.0,0.0
020700010301,2020,0.0,0.0,0.0
020700010302,2008,0.0,0.0,0.0
020700010302,2009,0.0,0.0,0.0
020700010302,2010,0.0,0.0,0.0
020700010302,2011,0.0,0.0,0.0
020700010302,2012,0.0,0.0,0.0
020700010302,2013,0.0,0.0,0.0
020700010302,2014,0.0,0.0,0.0
020700010302,2015,0.0,0.0,0.0
020700010302,2016,0.0,0.0,0.0
020700010302,2017,0.0,0.0,0.0
020700010302,2018,0.0,0.0,0.0
020700010302,2019,0.0,0.0,0.0
020700010302,2020,0.0,0.0,0.0
020700010303,2008,0.0,0.0,0.0
020700010303,2009,0.0,0.0,0.0
020700010303,2010,0.0,0.0,0.0
020700010303,2011,0.0,0.0,0.0
020700010303,2012,0.0,0.0,0.0
020700010303,2013,0.0,0.0,0.0
020700010303,2014,0.0,0.0,0.0
020700010303,2015,0.0,0.0,0.0
020700010303,2016,0.0,0.0,0.0
020700010303,2017,0.0,0.0,0.0
020700010303,2018,0.0,0.0,0.0
020700010303,2019,0.0,0.0,0.0
020700010303,2020,0.0,0.0,0.0
020700010304,2008,0.0,0.0,0.0
020700010304,2009,0.0,0.0,0.0
020700010304,2010,0.0,0.0,0.0
020700010304,2011,0.0,0.0,0.0
020700010304,2012,0.0,0.0,0.0
020700010304,2013,0.0,0.0,0.0
020700010304,2014,0.0,0.0,0.0
020700010304,2015,0.0,0.0,0.0
020700010304,2016,0.0,0.0,0.0
020700010304,2017,0.0,0.0,0.0
020700010304,2018,0.0,0.0,0.0
020700010304,2019,0.0,0.0,0.0
020700010304,2020,0.0,0.0,0.0
020700010501,2008,0.0,0.0,0.0
020700010501,2009,0.0,0.0,0.0
020700010501,2010,0.0,0.0,0.0
020700010501,2011,0.0,0.0,0.0
020700010501,2012,0.0,0.0,0.0
020700010501,2013,0.0,0.0,0.0
020700010501,2014,0.0,0.0,0.0
020700010501,2015,0.0,0.0,0.0
020700010501,2016,0.0,0.0,0.0
020700010501,2017,0.0,0.0,0.0
020700010501,2018,0.0,0.0,0.0
020700010501,2019,0.0,0.0,0.0
020700010501,2020,0.0,0.0,0.0
020700010502,2008,0.0,0.0,0.0
020700010502,2009,0.0,0.0,0.0
020700010502,2010,0.0,0.0,0.0
020700010502,2011,0.0,0.0,0.0
020700010502,2012,0.0,0.0,0.0
020700010502,2013,0.0,0.0,0.0
020700010502,2014,0.0,0.0,0.0
020700010502,2015,0.0,0.0,0.0
020700010502,2016,0.0,0.0,0.0
020700010502,2017,0.0,0.0,0.0
020700010502,2018,0.0,0.0,0.0
020700010502,2019,0.0,0.0,0.0
020700010502,2020,0.0,0.0,0.0
020700010503,2008,0.0,0.0,0.0
020700010503,2009,0.0,0.0,0.0
020700010503,2010,0.0,0.0,0.0
020700010503,2011,0.0,0.0,0.0
020700010503,2012,0.0,0.0,0.0
020700010503,2013,0.0,0.0,0.0
020700010503,2014,0.0,0.0,0.0
020700010503,2015,0.0,0.0,0.0
020700010503,2016,0.0,0.0,0.0
020700010503,2017,0.0,0.0,0.0
020700010503,2018,0.0,0.0,0.0
020700010503,2019,0.0,0.0,0.0
020700010503,2020,0.0,0.0,0.0
020700010504,2008,0.0,0.0,0.0
020700010504,2009,0.0,0.0,0.0
020700010504,2010,0.0,0.0,0.0
020700010504,2011,0.0,0.0,0.0
020700010504,2012,0.0,0.0,0.0
020700010504,2013,0.0,0.0,0.0
020700010504,2014,0.0,0.0,0.0
020700010504,2015,0.0,0.0,0.0
020700010504,2016,0.0,0.0,0.0
020700010504,2017,0.0,0.0,0.0
020700010504,2018,0.0,0.0,0.0
020700010504,2019,0.0,0.0,0.0
020700010504,2020,0.0,0.0,0.0
020700010505,2008,0.0,0.0,0.0
020700010505,2009,0.0,0.0,0.0
020700010505,2010,0.0,0.0,0.0
020700010505,2011,0.0,0.0,0.0
020700010505,2012,0.0,0.0,0.0
020700010505,2013,0.0,0.0,0.0
020700010505,2014,0.0,0.0,0.0
020700010505,2015,0.0,0.0,0.0
020700010505,2016,0.0,0.0,0.0
020700010505,2017,0.0,0.0,0.0
020700010505,2018,0.0,0.0,0.0
020700010505,2019,0.0,0.0,0.0
020700010505,2020,0.0,0.0,0.0
020700010506,2008,0.0,0.0,0.0
020700010506,2009,0.0,0.0,0.0
020700010506,2010,0.0,0.0,0.0
020700010506,2011,0.0,0.0,0.0
020700010506,2012,0.0,0.0,0.0
020700010506,2013,0.0,0.0,0.0
020700010506,2014,0.0,0.0,0.0
020700010506,2015,0.0,0.0,0.0
020700010506,2016,0.0,0.0,0.0
020700010506,2017,0.0,0.0,0.0
020700010506,2018,0.0,0.0,0.0
020700010506,2019,0.0,0.0,0.0
020700010506,2020,0.0,0.0,0.0
020700010507,2008,0.0,0.0,0.0
020700010507,2009,0.0,0.0,0.0
020700010507,2010,0.0,0.0,0.0
020700010507,2011,0.0,0.0,0.0
020700010507,2012,0.0,0.0,0.0
020700010507,2013,0.0,0.0,0.0
020700010507,2014,0.0,0.0,0.0
020700010507,2015,0.0,0.0,0.0
020700010507,2016,0.0,0.0,0.0
020700010507,2017,0.0,0.0,0.0
020700010507,2018,0.0,0.0,0.0
020700010507,2019,0.0,0.0,0.0
020700010507,2020,0.0,0.0,0.0
020700010508,2008,0.0,0.0,0.0
020700010508,2009,0.0,0.0,0.0
020700010508,2010,0.0,0.0,0.0
020700010508,2011,0.0,0.0,0.0
020700010508,2012,0.0,0.0,0.0
020700010508,2013,0.0,0.0,0.0
020700010508,2014,0.0,0.0,0.0
020700010508,2015,0.0,0.0,0.0
020700010508,2016,0.0,0.0,0.0
020700010508,2017,0.0,0.0,0.0
020700010508,2018,0.0,0.0,0.0
020700010508,2019,0.0,0.0,0.0
020700010508,2020,0.0,0.0,0.0
020700030501,2008,0.0,0.0,0.0
020700030501,2009,0.0,0.0,0.0
020700030501,2010,0.0,0.0,0.0
020700030501,2011,0.0,0.0,0.0
020700030501,2012,0.0,0.0,0.0
020700030501,2013,0.0,0.0,0.0
020700030501,2014,0.0,0.0,0.0
020700030501,2015,0.0,0.0,0.0
020700030501,2016,0.0,0.0,0.0
020700030501,2017,0.0,0.0,0.0
020700030501,2018,0.0,0.0,0.0
020700030501,2019,0.0,0.0,0.0
020700030501,2020,0.0,0.0,0.0
020700030502,2008,0.0,0.0,0.0
020700030502,2009,0.0,0.0,0.0
020700030502,2010,0.0,0.0,0.0
020700030502,2011,0.0,0.0,0.0
020700030502,2012,0.0,0.0,0.0
020700030502,2013,0.0,0.0,0.0
020700030502,2014,0.0,0.0,0.0
020700030502,2015,0.0,0.0,0.0
