State,Year,Water_Usage
Arkansas,2019,4596.722399807
California,2019,50392.541352079
Colorado,2019,8741.450650852
Connecticut,2019,3008.636546127
Delaware,2019,659.756080543
Florida,2019,24480.432272311
Georgia,2019,11840.77969173
Idaho,2019,2711.047276893
Illinois,2019,17702.258008495
Indiana,2019,7308.07364837
Iowa,2019,3678.12944412
Kansas,2019,5654.67427019
Kentucky,2019,6224.86488918
Louisiana,2019,6914.402663697
Maine,2019,968.31883047
Maryland,2019,7769.352310887
Massachusetts,2019,6667.07852695
Michigan,2019,10570.00615845
Minnesota,2019,6004.307437878
Mississippi,2019,4303.133648491
Missouri,2019,6639.23991832
Montana,2019,1417.905545248
Nebraska,2019,3225.499021313
Nevada,2019,5821.479847574
New Hampshire,2019,846.173977816
New Jersey,2019,10660.180840903
New Mexico,2019,2799.677196072
New York,2019,29785.107680352
North Carolina,2019,11342.450437594
North Dakota,2019,836.148397981
Ohio,2019,16737.975019171
Oklahoma,2019,6064.578078864
Oregon,2019,6613.143845782
Pennsylvania,2019,14296.886464673
Rhode Island,2019,1457.95250281
South Carolina,2019,6321.498067697
South Dakota,2019,1023.340177658
Tennessee,2019,7352.50307435
Texas,2019,46092.338918381
Utah,2019,6173.550425968
Vermont,2019,324.466357954
Virginia,2019,15849.94243553
Washington,2019,8737.95116767
West Virginia,2019,1835.991003443
Wisconsin,2019,5458.056425829
Wyoming,2019,987.242154655
Alabama,2020,7097.23914153
Arizona,2020,11259.128911649
Arkansas,2020,4490.249780196
California,2020,54726.000070323
Colorado,2020,9030.981392633
Connecticut,2020,2954.603005658
Delaware,2020,666.931198406
Florida,2020,24756.585782322
Georgia,2020,11808.354531187
Idaho,2020,2764.694776669
Illinois,2020,17414.128116597
Indiana,2020,7444.06398481
Iowa,2020,3744.407786874
Kansas,2020,5452.02401713
Kentucky,2020,6257.35614786
Louisiana,2020,6927.566057795
Maine,2020,982.04464555
Maryland,2020,8489.141245032
Massachusetts,2020,6511.84214982
Michigan,2020,10255.038211158
Minnesota,2020,6053.425988886
Mississippi,2020,4199.093419242
Missouri,2020,6584.728122505
Montana,2020,1481.654336472
Nebraska,2020,3268.890783084
Nevada,2020,5914.107870552
New Hampshire,2020,860.870449352
New Jersey,2020,10611.078343589
New Mexico,2020,2958.249257496
New York,2020,29199.390448206
North Carolina,2020,11354.760975203
North Dakota,2020,924.33876743
Ohio,2020,16716.391880969
Oklahoma,2020,6145.688639476
Oregon,2020,6750.916856183
Pennsylvania,2020,14219.260128209
Rhode Island,2020,1406.00261527
South Carolina,2020,6368.188915796
South Dakota,2020,1062.204324799
Tennessee,2020,7440.85470931
Texas,2020,46714.375574783
Utah,2020,6485.764836925
Vermont,2020,324.852381135
Virginia,2020,16021.52572274
Washington,2020,8778.1762290664
West Virginia,2020,1812.928432343
Wisconsin,2020,5365.865204342
Wyoming,2020,1015.223517617
