huc12_id,year,irrcutot_mgd
020403040104,2000,0.0
020403040104,2001,0.0
020403040104,2002,0.006547265
020403040104,2003,0.0
020403040104,2004,0.0
020403040104,2005,0.0
020403040104,2006,0.0
020403040104,2007,0.067145662
020403040104,2008,0.044811017
020403040104,2009,0.05328889
020403040104,2010,0.101045604
020403040104,2011,0.075868558
020403040104,2012,0.032377881
020403040104,2013,0.100999299
020403040104,2014,0.033650594
020403040104,2015,0.058338262
020403040104,2016,0.0
020403040104,2017,0.037997186
020403040104,2018,0.038089455
020403040104,2019,0.074320027
020403040104,2020,0.020791351
020403040201,2000,0.0
020403040201,2001,0.0
020403040201,2002,0.0
020403040201,2003,0.0
020403040201,2004,0.0
020403040201,2005,0.0
020403040201,2006,0.00288309
020403040201,2007,0.0
020403040201,2008,0.0
020403040201,2009,0.0
020403040201,2010,0.005244973
020403040201,2011,0.003561467
020403040201,2012,0.004200176
020403040201,2013,0.0
020403040201,2014,0.002268244
020403040201,2015,0.0
020403040201,2016,0.003418294
020403040201,2017,0.0
020403040201,2018,0.0
020403040201,2019,0.0
020403040201,2020,0.0
020403040202,2000,0.077817606
020403040202,2001,0.226427967
020403040202,2002,0.231458855
020403040202,2003,0.116178147
020403040202,2004,0.055108554
020403040202,2005,0.327369241
020403040202,2006,0.256584382
020403040202,2007,0.688454973
020403040202,2008,0.331895267
020403040202,2009,0.218895309
020403040202,2010,0.343860875
020403040202,2011,0.302926202
020403040202,2012,0.209358414
020403040202,2013,0.53392813
020403040202,2014,0.130411913
020403040202,2015,0.258919794
020403040202,2016,0.281441943
020403040202,2017,0.255356697
020403040202,2018,0.0
020403040202,2019,0.0
020403040202,2020,0.0
020403040203,2000,0.083035043
020403040203,2001,0.188598222
020403040203,2002,0.306117519
020403040203,2003,0.051692254
020403040203,2004,0.039057204
020403040203,2005,0.211771093
020403040203,2006,0.070550339
020403040203,2007,0.326427424
020403040203,2008,0.234297969
020403040203,2009,0.071135018
020403040203,2010,0.236107948
020403040203,2011,0.112397051
020403040203,2012,0.250875138
020403040203,2013,0.123464882
020403040203,2014,0.091536283
020403040203,2015,0.101017303
020403040203,2016,0.15964562
020403040203,2017,0.028510974
020403040203,2018,0.029459397
020403040203,2019,0.010891165
020403040203,2020,0.006377563
020403040301,2000,0.205904693
020403040301,2001,0.476677273
020403040301,2002,0.755886653
020403040301,2003,0.130861964
020403040301,2004,0.19872979
020403040301,2005,0.501473253
020403040301,2006,0.521521148
020403040301,2007,0.582213101
020403040301,2008,0.513141424
020403040301,2009,0.564149322
020403040301,2010,0.547819348
020403040301,2011,0.807354581
020403040301,2012,0.811687577
020403040301,2013,0.763509608
020403040301,2014,0.510649318
020403040301,2015,0.589394038
020403040301,2016,0.701196456
020403040301,2017,0.496198636
020403040301,2018,0.552199722
020403040301,2019,1.19119943
020403040301,2020,0.217848018
020403040302,2000,0.0
020403040302,2001,0.0
020403040302,2002,0.0
020403040302,2003,0.0
020403040302,2004,0.0
020403040302,2005,0.0
020403040302,2006,0.0
020403040302,2007,0.0
020403040302,2008,0.0
020403040302,2009,0.0
020403040302,2010,0.0
020403040302,2011,0.0
020403040302,2012,0.0
020403040302,2013,0.0
020403040302,2014,0.0
020403040302,2015,0.0
020403040302,2016,0.0
020403040302,2017,0.0
020403040302,2018,0.0
020403040302,2019,0.0
020403040302,2020,0.0
020403040303,2000,0.0
020403040303,2001,0.0
020403040303,2002,0.0
020403040303,2003,0.0
020403040303,2004,0.0
020403040303,2005,0.0
020403040303,2006,0.0
020403040303,2007,0.0
020403040303,2008,0.0
020403040303,2009,0.0
020403040303,2010,0.0
020403040303,2011,0.0
020403040303,2012,0.0
020403040303,2013,0.0
020403040303,2014,0.0
020403040303,2015,0.0
020403040303,2016,0.0
020403040303,2017,0.0
020403040303,2018,0.0
020403040303,2019,0.0
020403040303,2020,0.0
020403040304,2000,0.064171431
020403040304,2001,0.111637234
020403040304,2002,0.16692784
020403040304,2003,0.057947532
020403040304,2004,0.075581741
020403040304,2005,0.169863032
020403040304,2006,0.116884266
020403040304,2007,0.220727905
020403040304,2008,0.050292746
020403040304,2009,0.230658218
020403040304,2010,0.368512436
020403040304,2011,0.383127335
020403040304,2012,0.444711246
020403040304,2013,0.498409816
020403040304,2014,0.254784508
020403040304,2015,0.230136578
020403040304,2016,0.252036445
020403040304,2017,0.105090032
020403040304,2018,0.30667316
020403040304,2019,0.480950926
020403040304,2020,0.145647671
020403040401,2000,0.0
020403040401,2001,0.0
020403040401,2002,0.0
020403040401,2003,0.0
020403040401,2004,0.0
020403040401,2005,0.0
020403040401,2006,0.0
020403040401,2007,0.0
020403040401,2008,0.0
020403040401,2009,0.0
020403040401,2010,0.0
020403040401,2011,0.0
020403040401,2012,0.0
020403040401,2013,0.0
020403040401,2014,0.0
020403040401,2015,0.0
020403040401,2016,0.0
020403040401,2017,0.0
020403040401,2018,0.0
020403040401,2019,0.0
020403040401,2020,0.0
020403040402,2000,0.0
020403040402,2001,0.0
020403040402,2002,0.0
020403040402,2003,0.0
020403040402,2004,0.0
020403040402,2005,0.0
020403040402,2006,0.0
020403040402,2007,0.0
020403040402,2008,0.0
020403040402,2009,0.0
020403040402,2010,0.0
020403040402,2011,0.0
020403040402,2012,0.0
020403040402,2013,0.0
020403040402,2014,0.0
020403040402,2015,0.0
020403040402,2016,0.0
020403040402,2017,0.0
020403040402,2018,0.0
020403040402,2019,0.0
020403040402,2020,0.0
020403040403,2000,0.0
020403040403,2001,0.0
020403040403,2002,0.0
020403040403,2003,0.0
020403040403,2004,0.0
020403040403,2005,0.0
020403040403,2006,0.0
020403040403,2007,0.0
020403040403,2008,0.0
020403040403,2009,0.0
020403040403,2010,0.0
020403040403,2011,0.0
020403040403,2012,0.0
020403040403,2013,0.0
020403040403,2014,0.0
020403040403,2015,0.0
020403040403,2016,0.0
020403040403,2017,0.0
020403040403,2018,0.0
020403040403,2019,0.0
020403040403,2020,0.0
020403040404,2000,0.0
020403040404,2001,0.0
020403040404,2002,0.0
020403040404,2003,0.0
020403040404,2004,0.0
020403040404,2005,0.0
020403040404,2006,0.0
020403040404,2007,0.0
020403040404,2008,0.0
020403040404,2009,0.0
020403040404,2010,0.0
020403040404,2011,0.0
020403040404,2012,0.0
020403040404,2013,0.0
020403040404,2014,0.0
020403040404,2015,0.0
020403040404,2016,0.0
020403040404,2017,0.0
020403040404,2018,0.0
020403040404,2019,0.0
020403040404,2020,0.0
020403040501,2000,0.0
020403040501,2001,0.0
020403040501,2002,0.0
020403040501,2003,0.0
020403040501,2004,0.0
020403040501,2005,0.0
020403040501,2006,0.0
020403040501,2007,0.0
020403040501,2008,0.0
020403040501,2009,0.0
020403040501,2010,0.0
020403040501,2011,0.0
020403040501,2012,0.0
020403040501,2013,0.0
020403040501,2014,0.0
020403040501,2015,0.0
020403040501,2016,0.0
020403040501,2017,0.0
020403040501,2018,0.0
020403040501,2019,0.0
020403040501,2020,0.0
020403040502,2000,0.0
020403040502,2001,0.0
020403040502,2002,0.0
020403040502,2003,0.0
020403040502,2004,0.0
020403040502,2005,0.0
020403040502,2006,0.0
020403040502,2007,0.0
020403040502,2008,0.0
020403040502,2009,0.0
020403040502,2010,0.0
020403040502,2011,0.0
020403040502,2012,0.0
