huc12_id,year,pswdtot_mgd
060101010305,2014,0.0
060101010305,2015,0.0
060101010305,2016,0.0
060101010305,2017,0.0
060101010305,2018,0.0
060101010305,2019,0.0
060101010305,2020,0.0
060101010306,2000,0.0
060101010306,2001,0.0
060101010306,2002,0.0
060101010306,2003,0.0
060101010306,2004,0.0
060101010306,2005,0.0
060101010306,2006,0.0
060101010306,2007,0.0
060101010306,2008,0.0
060101010306,2009,0.0
060101010306,2010,0.0
060101010306,2011,0.0
060101010306,2012,0.0
060101010306,2013,0.0
060101010306,2014,0.0
060101010306,2015,0.0
060101010306,2016,0.0
060101010306,2017,0.0
060101010306,2018,0.0
060101010306,2019,0.0
060101010306,2020,0.0
060101010307,2000,0.000455493
060101010307,2001,0.000451757
060101010307,2002,0.000489754
060101010307,2003,0.000462068
060101010307,2004,0.000457529
060101010307,2005,0.000458141
060101010307,2006,0.000430486
060101010307,2007,0.000449525
060101010307,2008,0.00046376
060101010307,2009,0.000459486
060101010307,2010,0.000443703
060101010307,2011,0.000410307
060101010307,2012,0.000406475
060101010307,2013,0.000363792
060101010307,2014,0.000386573
060101010307,2015,0.000385997
060101010307,2016,0.000382844
060101010307,2017,0.000383526
060101010307,2018,0.000375303
060101010307,2019,0.000347498
060101010307,2020,0.000333853
060101010401,2000,0.0
060101010401,2001,0.0
060101010401,2002,0.0
060101010401,2003,0.0
060101010401,2004,0.0
060101010401,2005,0.0
060101010401,2006,0.0
060101010401,2007,0.0
060101010401,2008,0.0
060101010401,2009,0.0
060101010401,2010,0.0
060101010401,2011,0.0
060101010401,2012,0.0
060101010401,2013,0.0
060101010401,2014,0.0
060101010401,2015,0.0
060101010401,2016,0.0
060101010401,2017,0.0
060101010401,2018,0.0
060101010401,2019,0.0
060101010401,2020,0.0
060101010402,2000,0.729319909
060101010402,2001,0.726297026
060101010402,2002,0.712608679
060101010402,2003,0.705978481
060101010402,2004,0.703464304
060101010402,2005,0.714076633
060101010402,2006,0.69470035
060101010402,2007,0.711128927
060101010402,2008,0.66786867
060101010402,2009,0.64390469
060101010402,2010,0.68252632
060101010402,2011,0.658013732
060101010402,2012,0.666145678
060101010402,2013,0.656566132
060101010402,2014,0.65956594
060101010402,2015,0.660087249
060101010402,2016,0.672597754
060101010402,2017,0.671103395
060101010402,2018,0.664893495
060101010402,2019,0.669654643
060101010402,2020,0.667424972
060101010403,2000,0.036674346
060101010403,2001,0.036884289
060101010403,2002,0.038177105
060101010403,2003,0.037847343
060101010403,2004,0.037499955
060101010403,2005,0.036935799
060101010403,2006,0.037735331
060101010403,2007,0.036507076
060101010403,2008,0.036961671
