huc12_id,year,irrwdtot_mgd
020802060106,2008,0.501579257
020802060106,2009,0.171313553
020802060106,2010,0.0
020802060106,2011,0.157456778
020802060106,2012,0.96910459
020802060106,2013,0.346732285
020802060106,2014,1.236477323
020802060106,2015,0.888702734
020802060106,2016,0.732314691
020802060106,2017,1.350758471
020802060106,2018,0.395013679
020802060106,2019,1.100829545
020802060106,2020,0.580366806
020802060201,2000,0.11595382
020802060201,2001,0.0
020802060201,2002,0.114576682
020802060201,2003,0.0
020802060201,2004,0.0
020802060201,2005,0.064317384
020802060201,2006,0.00033789
020802060201,2007,0.131630425
020802060201,2008,0.08540694
020802060201,2009,0.037348674
020802060201,2010,0.0
020802060201,2011,0.0
020802060201,2012,0.016942
020802060201,2013,0.009946148
020802060201,2014,0.019118359
020802060201,2015,0.011865816
020802060201,2016,0.010806702
020802060201,2017,0.0
020802060201,2018,0.00010546
020802060201,2019,0.072568827
020802060201,2020,0.001677352
020802060202,2000,0.0
020802060202,2001,0.0
020802060202,2002,0.0
020802060202,2003,0.0
020802060202,2004,0.0
020802060202,2005,0.0
020802060202,2006,0.0
020802060202,2007,0.0
020802060202,2008,0.0
020802060202,2009,0.0
020802060202,2010,0.0
020802060202,2011,0.0
020802060202,2012,0.0
020802060202,2013,0.0
020802060202,2014,0.0
020802060202,2015,0.0
020802060202,2016,0.0
020802060202,2017,0.0
020802060202,2018,0.0
020802060202,2019,0.0
020802060202,2020,0.0
020802060203,2000,0.045320374
020802060203,2001,0.016502808
020802060203,2002,0.025667101
020802060203,2003,0.001665515
020802060203,2004,0.009155557
020802060203,2005,0.014768247
020802060203,2006,0.039425995
020802060203,2007,0.021618425
020802060203,2008,0.029319016
020802060203,2009,0.04508726
020802060203,2010,0.0
020802060203,2011,0.0
020802060203,2012,0.0
020802060203,2013,0.001731504
020802060203,2014,0.083808156
020802060203,2015,0.027391227
020802060203,2016,0.039117391
020802060203,2017,0.020901134
020802060203,2018,0.004210989
020802060203,2019,0.021761471
020802060203,2020,0.004004456
020802060204,2000,0.029202169
020802060204,2001,0.037426496
020802060204,2002,0.065717436
020802060204,2003,0.015343641
020802060204,2004,0.01051594
020802060204,2005,0.081758132
020802060204,2006,0.069828496
020802060204,2007,0.073741107
020802060204,2008,0.110943727
020802060204,2009,0.110816033
020802060204,2010,0.619035156
020802060204,2011,0.247266082
020802060204,2012,0.278861019
020802060204,2013,0.108159126
020802060204,2014,0.289950112
020802060204,2015,0.183434093
020802060204,2016,0.276203369
020802060204,2017,0.245139252
020802060204,2018,0.053829844
020802060204,2019,0.248386036
020802060204,2020,0.051333803
020802060205,2000,0.0
020802060205,2001,0.015839619
020802060205,2002,0.000403562
020802060205,2003,0.011344301
020802060205,2004,0.000336885
020802060205,2005,0.063831219
020802060205,2006,0.107840422
020802060205,2007,0.092391173
020802060205,2008,0.13140768
020802060205,2009,0.317970899
020802060205,2010,0.413207595
020802060205,2011,0.336987022
020802060205,2012,0.486872216
020802060205,2013,0.178015033
020802060205,2014,0.423985871
020802060205,2015,0.201158682
020802060205,2016,0.322621675
020802060205,2017,0.277720422
020802060205,2018,0.012233195
020802060205,2019,0.175080641
020802060205,2020,0.191559779
020802060301,2000,0.0
020802060301,2001,0.0
020802060301,2002,0.0
020802060301,2003,0.0
020802060301,2004,0.0
020802060301,2005,0.0
020802060301,2006,0.0
